Client_ID,Note_loan_percent_income,Note_person_home_ownership,Note_cb_person_default_on_file,Note_person_income,Note_loan_intent,Note_Finale,loan_status,loan_grade,Classe_Risque
0,0.0,0.0,0.0,153.61,32.5,186.11,0,1,0
1,324.27,185.94,0.0,153.61,100.42,764.2399999999999,1,2,6
2,324.27,285.63,0.0,0.0,100.42,710.3199999999999,1,2,5
3,324.27,285.63,129.37,23.97,100.42,863.66,1,2,6
4,36.04,0.0,0.0,153.61,0.0,189.65,1,0,0
5,324.27,285.63,0.0,0.0,32.5,642.4,1,1,5
6,324.27,285.63,0.0,0.0,100.42,710.3199999999999,1,1,5
7,324.27,285.63,0.0,0.0,32.5,642.4,1,0,5
8,36.04,0.0,0.0,153.61,0.0,189.65,1,3,0
9,324.27,285.63,0.0,0.0,0.0,609.9,1,1,5
10,324.27,0.0,0.0,153.61,100.42,578.3,1,0,5
11,324.27,285.63,0.0,0.0,0.0,609.9,1,0,5
12,324.27,285.63,0.0,0.0,32.5,642.4,1,4,5
13,68.11,285.63,0.0,0.0,32.5,386.24,0,0,2
14,0.0,185.94,0.0,0.0,107.12,293.06,0,1,2
15,68.11,285.63,0.0,0.0,32.5,386.24,0,0,2
16,324.27,285.63,0.0,0.0,100.42,710.3199999999999,1,5,5
17,324.27,285.63,0.0,0.0,107.12,717.02,1,3,5
18,36.04,185.94,0.0,153.61,32.5,408.09,1,1,3
19,36.04,285.63,0.0,0.0,0.0,321.67,0,0,2
20,36.04,285.63,129.37,0.0,32.5,483.54,0,4,4
21,324.27,285.63,0.0,0.0,32.5,642.4,1,3,5
22,0.0,0.0,0.0,153.61,32.5,186.11,0,0,0
23,324.27,285.63,129.37,0.0,32.5,771.77,1,3,6
24,324.27,285.63,0.0,0.0,100.42,710.3199999999999,1,2,5
25,324.27,185.94,129.37,153.61,0.0,793.1899999999999,1,4,6
26,0.0,0.0,0.0,153.61,32.5,186.11,0,0,0
27,324.27,285.63,0.0,0.0,100.42,710.3199999999999,1,1,5
28,324.27,285.63,129.37,153.61,32.5,925.38,1,2,6
29,36.04,0.0,0.0,153.61,100.42,290.07,1,1,2
30,68.11,285.63,0.0,0.0,0.0,353.74,0,0,2
31,324.27,285.63,129.37,0.0,100.42,839.6899999999999,1,2,6
32,0.0,285.63,0.0,0.0,107.12,392.75,0,2,2
33,0.0,185.94,0.0,0.0,100.42,286.36,0,2,1
34,36.04,0.0,0.0,153.61,32.5,222.15,1,0,1
35,324.27,285.63,0.0,23.97,32.5,666.37,1,4,5
36,324.27,285.63,129.37,0.0,107.12,846.39,1,3,6
37,324.27,285.63,129.37,0.0,100.42,839.6899999999999,1,3,6
38,324.27,285.63,0.0,0.0,107.12,717.02,1,3,5
39,324.27,285.63,0.0,23.97,100.42,734.29,1,4,6
40,36.04,0.0,0.0,153.61,0.0,189.65,1,1,0
41,0.0,185.94,0.0,0.0,0.0,185.94,0,0,0
42,0.0,0.0,129.37,0.0,32.5,161.87,0,5,0
43,0.0,0.0,0.0,0.0,100.42,100.42,0,1,0
44,0.0,185.94,0.0,0.0,32.5,218.44,0,3,0
45,0.0,185.94,0.0,0.0,100.42,286.36,0,4,1
46,324.27,285.63,0.0,0.0,32.5,642.4,1,0,5
47,324.27,285.63,0.0,0.0,100.42,710.3199999999999,1,1,5
48,324.27,285.63,0.0,0.0,107.12,717.02,1,0,5
49,324.27,285.63,129.37,0.0,107.12,846.39,1,3,6
50,324.27,285.63,129.37,0.0,107.12,846.39,1,5,6
51,324.27,285.63,129.37,0.0,32.5,771.77,1,2,6
52,324.27,285.63,0.0,0.0,0.0,609.9,1,1,5
53,36.04,285.63,0.0,0.0,32.5,354.17,0,0,2
54,0.0,285.63,129.37,0.0,32.5,447.5,0,2,3
55,0.0,285.63,0.0,0.0,0.0,285.63,0,1,1
56,0.0,0.0,0.0,0.0,32.5,32.5,0,0,0
57,36.04,285.63,0.0,0.0,32.5,354.17,0,0,2
58,0.0,0.0,129.37,153.61,0.0,282.98,0,4,1
59,36.04,285.63,0.0,0.0,0.0,321.67,0,0,2
60,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
61,0.0,185.94,0.0,0.0,32.5,218.44,1,1,0
62,0.0,185.94,0.0,0.0,100.42,286.36,1,3,1
63,324.27,285.63,0.0,0.0,32.5,642.4,1,3,5
64,0.0,185.94,129.37,153.61,32.5,501.42,0,3,4
65,0.0,0.0,0.0,0.0,100.42,100.42,0,1,0
66,0.0,185.94,129.37,0.0,100.42,415.73,0,3,3
67,0.0,185.94,0.0,0.0,32.5,218.44,0,0,0
68,0.0,285.63,0.0,0.0,100.42,386.05,0,2,2
69,36.04,0.0,0.0,153.61,100.42,290.07,1,2,2
70,324.27,285.63,0.0,23.97,100.42,734.29,1,0,6
71,36.04,0.0,129.37,153.61,32.5,351.52,1,2,2
72,324.27,285.63,0.0,0.0,32.5,642.4,1,0,5
73,324.27,285.63,0.0,0.0,0.0,609.9,1,0,5
74,324.27,0.0,0.0,153.61,32.5,510.38,1,0,4
75,324.27,285.63,0.0,0.0,0.0,609.9,1,1,5
76,324.27,0.0,129.37,153.61,32.5,639.75,1,2,5
77,324.27,0.0,0.0,153.61,107.12,585.0,1,0,5
78,324.27,285.63,129.37,0.0,0.0,739.27,1,3,6
79,0.0,285.63,129.37,0.0,32.5,447.5,0,2,3
80,68.11,285.63,0.0,0.0,107.12,460.86,0,1,4
81,36.04,285.63,0.0,0.0,32.5,354.17,0,0,2
82,36.04,0.0,0.0,153.61,107.12,296.77,1,0,2
83,68.11,285.63,0.0,0.0,32.5,386.24,1,1,2
84,36.04,285.63,0.0,0.0,107.12,428.79,0,1,3
85,324.27,285.63,0.0,0.0,100.42,710.3199999999999,1,0,5
86,68.11,185.94,129.37,153.61,107.12,644.15,1,4,5
87,324.27,285.63,129.37,0.0,32.5,771.77,1,2,6
88,0.0,0.0,0.0,0.0,32.5,32.5,0,1,0
89,324.27,285.63,129.37,0.0,0.0,739.27,1,3,6
90,324.27,285.63,129.37,0.0,32.5,771.77,1,2,6
91,324.27,285.63,0.0,0.0,0.0,609.9,1,3,5
92,324.27,285.63,0.0,23.97,100.42,734.29,1,1,6
93,36.04,285.63,0.0,0.0,32.5,354.17,0,1,2
94,0.0,0.0,0.0,153.61,100.42,254.03000000000003,0,2,1
95,324.27,285.63,0.0,23.97,0.0,633.87,1,1,5
96,0.0,185.94,129.37,0.0,100.42,415.73,0,2,3
97,0.0,0.0,0.0,0.0,100.42,100.42,0,1,0
98,0.0,185.94,0.0,0.0,100.42,286.36,0,1,1
99,0.0,185.94,129.37,0.0,107.12,422.43,1,3,3
100,0.0,185.94,129.37,0.0,100.42,415.73,0,2,3
101,0.0,185.94,0.0,0.0,100.42,286.36,0,2,1
102,68.11,285.63,0.0,0.0,32.5,386.24,1,1,2
103,36.04,185.94,0.0,153.61,32.5,408.09,1,0,3
104,0.0,0.0,0.0,153.61,32.5,186.11,0,2,0
105,324.27,285.63,129.37,23.97,32.5,795.74,1,2,6
106,324.27,285.63,0.0,23.97,100.42,734.29,1,3,6
107,36.04,0.0,129.37,153.61,107.12,426.14,1,2,3
108,68.11,185.94,0.0,153.61,100.42,508.08,1,1,4
109,0.0,185.94,0.0,0.0,100.42,286.36,0,1,1
