,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
0,0,0,0,1,2,1,0,3,0,0,0,0
1,0,0,1,0,1,2,0,3,1,3,0,0
2,0,3,2,0,1,2,3,5,1,3,0,0
3,0,2,2,1,1,2,3,4,1,3,1,0
4,0,0,0,0,3,0,0,1,1,1,0,0
5,1,3,2,1,2,1,3,3,1,3,0,0
6,0,3,2,1,1,1,3,3,1,3,0,0
7,0,3,2,1,2,0,3,2,1,3,0,0
8,0,0,0,1,3,3,0,4,1,1,0,0
9,0,3,2,1,3,1,3,2,1,3,0,0
10,0,0,0,0,1,0,0,2,1,3,0,0
11,0,3,2,0,3,0,3,2,1,3,0,0
12,1,3,2,0,2,4,3,6,1,3,0,0
13,0,3,2,0,2,0,3,2,0,2,0,0
14,0,3,1,1,0,1,3,2,0,0,0,0
15,0,3,2,0,2,0,3,2,0,2,0,0
16,0,3,2,1,1,5,3,6,1,3,0,0
17,0,3,2,1,0,3,3,6,1,3,0,0
18,0,0,1,1,2,1,0,3,1,1,0,0
19,0,3,2,0,3,0,3,1,0,1,0,0
20,0,3,2,1,2,4,3,6,0,1,1,0
21,0,3,2,0,2,3,3,6,1,3,0,0
22,0,0,0,0,2,0,0,1,0,0,0,0
23,0,3,2,0,2,3,3,4,1,3,1,0
24,0,3,2,1,1,2,3,3,1,3,0,0
25,0,0,1,0,3,4,0,6,1,3,1,0
26,0,0,0,0,2,0,0,2,0,0,0,0
27,0,3,2,1,1,1,3,2,1,3,0,0
28,0,0,2,1,2,2,0,3,1,3,1,0
29,0,0,0,1,1,1,0,3,1,1,0,0
30,0,3,2,0,3,0,3,1,0,2,0,0
31,1,3,2,1,1,2,3,4,1,3,1,0
32,0,3,2,0,0,2,3,3,0,0,0,0
33,1,3,1,1,1,2,0,3,0,0,0,0
34,0,0,0,1,2,0,0,1,1,1,0,0
35,0,2,2,0,2,4,3,6,1,3,0,0
36,0,3,2,1,0,3,3,4,1,3,1,0
37,0,3,2,0,1,3,3,6,1,3,1,0
38,0,3,2,0,0,3,3,3,1,3,0,0
39,1,2,2,1,1,4,3,6,1,3,0,0
40,0,0,0,0,3,1,0,3,1,1,0,0
41,1,3,1,1,3,0,3,1,0,0,0,0
42,0,3,0,0,2,5,3,6,0,0,1,0
43,1,3,0,1,1,1,0,2,0,0,0,0
44,1,3,1,0,2,3,3,5,0,0,0,0
45,0,3,1,1,1,4,2,6,0,0,0,0
46,1,3,2,1,2,0,3,1,1,3,0,0
47,0,3,2,0,1,1,3,3,1,3,0,0
48,1,3,2,0,0,0,3,1,1,3,0,0
49,0,3,2,0,0,3,3,3,1,3,1,0
50,0,3,2,1,0,5,3,6,1,3,1,0
51,0,3,2,1,2,2,3,5,1,3,1,0
52,0,3,2,1,3,1,3,2,1,3,0,0
53,0,3,2,1,2,0,3,2,0,1,0,0
54,1,3,2,0,2,2,0,6,0,0,1,0
55,1,3,2,0,3,1,3,3,0,0,0,0
56,0,3,0,0,2,0,3,3,0,0,0,0
57,0,3,2,1,2,0,3,1,0,1,0,0
58,0,0,0,0,3,4,0,3,0,0,1,0
59,0,3,2,0,3,0,3,0,0,1,0,0
60,0,3,0,1,3,1,0,3,0,0,0,0
61,1,3,1,0,2,1,0,3,1,0,0,0
62,0,3,1,1,1,3,3,6,1,0,0,0
63,0,3,2,1,2,3,3,6,1,3,0,0
64,0,0,1,1,2,3,0,5,0,0,1,0
65,1,3,0,1,1,1,3,3,0,0,0,0
66,0,3,1,1,1,3,3,4,0,0,1,0
67,0,3,1,1,2,0,0,1,0,0,0,0
68,0,3,2,0,1,2,3,3,0,0,0,0
69,0,0,0,0,1,2,0,3,1,1,0,0
70,0,2,2,1,1,0,3,3,1,3,0,0
71,0,0,0,1,2,2,0,3,1,1,1,0
72,0,3,2,0,2,0,3,2,1,3,0,0
73,1,3,2,0,3,0,3,1,1,3,0,0
74,1,0,0,0,2,0,0,1,1,3,0,0
75,0,3,2,1,3,1,3,2,1,3,0,0
76,0,0,0,0,2,2,0,3,1,3,1,0
77,0,0,0,1,0,0,0,1,1,3,0,0
78,0,3,2,0,3,3,3,6,1,3,1,0
79,0,3,2,0,2,2,2,3,0,0,1,0
80,0,3,2,1,0,1,3,3,0,2,0,0
81,1,3,2,1,2,0,3,2,0,1,0,0
82,1,0,0,0,0,0,0,3,1,1,0,0
83,0,3,2,1,2,1,3,3,1,2,0,0
84,0,3,2,1,0,1,3,3,0,1,0,0
85,0,3,2,0,1,0,3,3,1,3,0,0
86,0,0,1,1,0,4,0,6,1,2,1,0
87,0,3,2,0,2,2,3,3,1,3,1,0
88,0,3,0,1,2,1,3,3,0,0,0,0
89,1,3,2,1,3,3,3,6,1,3,1,0
90,0,3,2,1,2,2,3,3,1,3,1,0
91,0,3,2,0,3,3,3,3,1,3,0,0
92,0,2,2,1,1,1,3,3,1,3,0,0
93,0,3,2,0,2,1,3,3,0,1,0,0
94,0,0,0,0,1,2,0,3,0,0,0,0
95,0,2,2,0,3,1,3,3,1,3,0,0
96,0,3,1,0,1,2,3,4,0,0,1,0
97,0,3,0,1,1,1,3,2,0,0,0,0
98,1,3,1,1,1,1,3,3,0,0,0,0
99,0,3,1,1,0,3,0,4,1,0,1,0
100,1,3,1,0,1,2,3,4,0,0,1,0
101,0,3,1,1,1,2,3,4,0,0,0,0
102,0,3,2,1,2,1,3,3,1,2,0,0
103,0,0,1,0,2,0,0,0,1,1,0,0
104,0,0,0,0,2,2,0,3,0,0,0,0
105,0,2,2,0,2,2,3,3,1,3,1,0
106,0,2,2,0,1,3,3,3,1,3,0,0
107,0,0,0,0,0,2,0,3,1,1,1,0
108,0,0,1,0,1,1,0,2,1,2,0,0
109,1,3,1,0,1,1,3,3,0,0,0,0
110,0,3,1,0,1,4,3,6,0,0,1,0
111,1,3,1,1,2,1,3,2,1,1,0,0
112,0,3,2,0,1,1,0,3,0,0,0,0
113,0,0,1,0,0,1,0,3,1,3,0,0
114,0,0,0,0,0,2,0,3,1,1,1,0
115,0,2,2,1,1,3,3,4,1,3,1,0
116,1,2,2,0,2,1,3,2,1,3,0,0
117,0,0,0,0,1,3,0,4,1,2,0,0
118,0,0,0,0,2,1,0,3,1,3,0,0
119,0,2,2,0,2,4,3,6,1,3,1,0
120,0,2,2,0,2,1,3,3,1,3,0,0
121,0,3,1,0,3,5,3,6,0,0,0,0
122,1,3,2,0,2,0,0,2,0,0,0,0
123,0,3,2,1,0,0,0,2,0,0,0,0
124,1,3,1,0,3,1,3,2,0,0,0,0
125,0,2,2,1,2,1,3,3,1,3,0,0
126,0,2,2,0,0,0,3,2,1,3,0,0
127,0,2,2,0,1,0,3,0,1,3,0,0
128,0,2,2,0,0,3,3,5,1,3,0,0
129,0,2,2,0,3,1,3,3,1,3,0,0
130,0,2,2,0,3,1,3,2,1,3,0,0
131,0,2,2,0,3,2,3,3,1,3,0,0
132,0,2,2,0,2,1,3,3,1,3,0,0
